rider_id,city,join_date,rider_segment
R000001,Dhaka,2024-07-01,Premium
R000002,Chattogram,2024-09-06,Regular
R000003,Dhaka,2024-08-04,Budget
R000004,Dhaka,2024-07-22,Premium
R000005,Chattogram,2024-07-19,Regular
R000006,Dhaka,2024-09-30,Premium
R000007,Chattogram,2024-07-03,Budget
R000008,Dhaka,2024-08-07,Budget
R000009,Dhaka,2024-07-18,Regular
R000010,Dhaka,2024-08-22,Budget
R000011,Chattogram,2024-10-06,Budget
R000012,Dhaka,2024-10-17,Budget
R000013,Dhaka,2024-09-24,Regular
R000014,Dhaka,2024-07-25,Regular
R000015,Dhaka,2024-08-22,Budget
R000016,Chattogram,2024-10-09,Budget
R000017,Dhaka,2024-09-03,Premium
R000018,Sylhet,2024-08-30,Regular
R000019,Dhaka,2024-09-02,Budget
R000020,Chattogram,2024-07-13,Budget
R000021,Dhaka,2024-07-12,Regular
R000022,Dhaka,2024-09-18,Premium
R000023,Dhaka,2024-09-24,Regular
R000024,Dhaka,2024-07-24,Regular
R000025,Dhaka,2024-10-16,Budget
R000026,Sylhet,2024-07-30,Regular
R000027,Sylhet,2024-10-01,Premium
R000028,Dhaka,2024-09-25,Premium
R000029,Dhaka,2024-09-17,Budget
R000030,Dhaka,2024-08-22,Budget
R000031,Dhaka,2024-07-02,Budget
R000032,Chattogram,2024-08-24,Budget
R000033,Dhaka,2024-09-01,Regular
R000034,Dhaka,2024-08-27,Regular
R000035,Dhaka,2024-07-13,Premium
R000036,Chattogram,2024-09-13,Budget
R000037,Dhaka,2024-09-04,Regular
R000038,Chattogram,2024-09-10,Regular
R000039,Chattogram,2024-08-21,Budget
R000040,Dhaka,2024-09-21,Budget
R000041,Chattogram,2024-07-20,Regular
R000042,Dhaka,2024-08-17,Budget
R000043,Dhaka,2024-08-05,Budget
R000044,Chattogram,2024-10-11,Regular
R000045,Chattogram,2024-09-28,Regular
R000046,Dhaka,2024-08-21,Regular
R000047,Chattogram,2024-09-25,Regular
R000048,Chattogram,2024-07-08,Regular
R000049,Dhaka,2024-07-26,Budget
R000050,Dhaka,2024-09-11,Budget
R000051,Dhaka,2024-09-01,Regular
R000052,Dhaka,2024-08-29,Regular
R000053,Sylhet,2024-09-05,Budget
R000054,Dhaka,2024-10-11,Regular
R000055,Dhaka,2024-10-03,Budget
R000056,Dhaka,2024-09-03,Budget
R000057,Sylhet,2024-08-23,Regular
R000058,Chattogram,2024-09-22,Premium
R000059,Chattogram,2024-10-27,Budget
R000060,Chattogram,2024-10-10,Regular
R000061,Chattogram,2024-08-04,Premium
R000062,Dhaka,2024-10-01,Budget
R000063,Dhaka,2024-07-28,Budget
R000064,Chattogram,2024-07-05,Premium
R000065,Dhaka,2024-08-25,Regular
R000066,Dhaka,2024-10-18,Budget
R000067,Dhaka,2024-07-13,Budget
R000068,Sylhet,2024-10-18,Budget
R000069,Dhaka,2024-10-15,Regular
R000070,Dhaka,2024-09-16,Premium
R000071,Sylhet,2024-07-22,Budget
R000072,Dhaka,2024-07-22,Budget
R000073,Dhaka,2024-09-23,Budget
R000074,Chattogram,2024-09-02,Regular
R000075,Dhaka,2024-09-12,Budget
R000076,Sylhet,2024-08-14,Budget
R000077,Dhaka,2024-07-31,Regular
R000078,Sylhet,2024-09-15,Budget
R000079,Chattogram,2024-08-16,Regular
R000080,Dhaka,2024-07-28,Regular
R000081,Dhaka,2024-09-25,Regular
R000082,Chattogram,2024-08-04,Regular
R000083,Dhaka,2024-09-23,Regular
R000084,Dhaka,2024-08-17,Budget
R000085,Dhaka,2024-07-20,Regular
R000086,Chattogram,2024-09-14,Budget
R000087,Dhaka,2024-07-04,Budget
R000088,Chattogram,2024-09-27,Budget
R000089,Chattogram,2024-09-06,Budget
R000090,Sylhet,2024-07-08,Budget
R000091,Dhaka,2024-07-03,Budget
R000092,Sylhet,2024-10-25,Premium
R000093,Dhaka,2024-07-25,Regular
R000094,Chattogram,2024-08-04,Regular
R000095,Dhaka,2024-10-29,Budget
R000096,Dhaka,2024-08-08,Premium
R000097,Sylhet,2024-10-29,Regular
R000098,Dhaka,2024-08-29,Budget
R000099,Chattogram,2024-08-22,Premium
R000100,Chattogram,2024-09-11,Regular
R000101,Chattogram,2024-09-13,Budget
R000102,Dhaka,2024-10-02,Premium
R000103,Chattogram,2024-08-07,Budget
R000104,Dhaka,2024-07-11,Regular
R000105,Dhaka,2024-07-19,Budget
R000106,Dhaka,2024-08-18,Regular
R000107,Chattogram,2024-07-31,Budget
R000108,Chattogram,2024-07-23,Budget
R000109,Dhaka,2024-07-08,Regular
R000110,Chattogram,2024-07-29,Regular
R000111,Chattogram,2024-07-28,Regular
R000112,Dhaka,2024-09-01,Budget
R000113,Dhaka,2024-08-08,Budget
R000114,Sylhet,2024-10-05,Budget
R000115,Chattogram,2024-08-23,Regular
R000116,Chattogram,2024-10-06,Regular
R000117,Dhaka,2024-10-24,Regular
R000118,Dhaka,2024-10-05,Regular
R000119,Dhaka,2024-07-04,Budget
R000120,Chattogram,2024-10-10,Budget
R000121,Sylhet,2024-10-12,Premium
R000122,Sylhet,2024-10-26,Budget
R000123,Dhaka,2024-07-22,Premium
R000124,Dhaka,2024-07-02,Premium
R000125,Sylhet,2024-10-22,Premium
R000126,Dhaka,2024-09-24,Budget
R000127,Chattogram,2024-07-08,Budget
R000128,Dhaka,2024-08-06,Regular
R000129,Sylhet,2024-10-03,Regular
R000130,Dhaka,2024-10-04,Budget
R000131,Chattogram,2024-09-13,Premium
R000132,Dhaka,2024-08-27,Regular
R000133,Chattogram,2024-07-15,Regular
R000134,Chattogram,2024-07-02,Regular
R000135,Dhaka,2024-07-03,Budget
R000136,Chattogram,2024-08-05,Regular
R000137,Chattogram,2024-10-14,Premium
R000138,Dhaka,2024-10-05,Regular
R000139,Chattogram,2024-10-27,Regular
R000140,Chattogram,2024-07-06,Regular
R000141,Chattogram,2024-09-29,Budget
R000142,Dhaka,2024-10-07,Budget
R000143,Dhaka,2024-10-08,Budget
R000144,Dhaka,2024-10-21,Regular
R000145,Dhaka,2024-10-03,Regular
R000146,Dhaka,2024-08-09,Budget
R000147,Chattogram,2024-08-30,Budget
R000148,Dhaka,2024-07-19,Regular
R000149,Chattogram,2024-07-24,Budget
R000150,Chattogram,2024-08-31,Budget
R000151,Dhaka,2024-07-19,Regular
R000152,Dhaka,2024-10-15,Regular
R000153,Chattogram,2024-08-01,Premium
R000154,Dhaka,2024-07-28,Budget
R000155,Chattogram,2024-08-02,Budget
R000156,Dhaka,2024-07-22,Budget
R000157,Dhaka,2024-08-12,Premium
R000158,Chattogram,2024-07-31,Regular
R000159,Dhaka,2024-08-18,Budget
R000160,Dhaka,2024-07-20,Budget
R000161,Dhaka,2024-07-14,Regular
R000162,Chattogram,2024-09-28,Budget
R000163,Sylhet,2024-09-05,Regular
R000164,Dhaka,2024-09-06,Regular
R000165,Dhaka,2024-09-11,Budget
R000166,Dhaka,2024-08-21,Regular
R000167,Dhaka,2024-09-13,Budget
R000168,Dhaka,2024-09-28,Budget
R000169,Chattogram,2024-07-01,Regular
R000170,Dhaka,2024-10-18,Budget
R000171,Dhaka,2024-07-03,Regular
R000172,Dhaka,2024-08-16,Budget
R000173,Dhaka,2024-09-03,Regular
R000174,Chattogram,2024-09-27,Budget
R000175,Dhaka,2024-07-29,Regular
R000176,Dhaka,2024-08-11,Premium
R000177,Chattogram,2024-09-04,Budget
